Experiment,Date,Efficiency
CMS EDG v1.4,2002-12-01, 70
CMS EDG v1.4,2003-01-15, 70
CMS EDG v1.4,2003-08-01, 80
CMS EDG v1.4,2003-09-01, 80
CMS EDG v1.4,2003-10-01, 80
Atlas EDG v1.4,2003-02-01, 50
Atlas EDG v1.4,2003-05-01, 85
Atlas EDG v1.4,2003-06-01, 85
LHCb EDG v1.4,2003-03-01, 35
LCG1 EDG v2.0,2003-09-01, 80
LCG1 EDG v2.0,2003-10-01, 80
LCG1 EDG v2.0,2003-11-01, 80
LCG1 EDG v2.0,2003-12-01, 75
LCG1 EDG v2.0,2004-02-01, 80
EDG appl. TB v2.x,2003-10-01, 48
EDG appl. TB v2.x,2003-11-01, 48
EDG appl. TB v2.x,2003-12-01, 65
EDG appl. TB v2.x,2004-02-01, 72
EDG appl. TB v2.x,2004-02-15, 82